bet_id;Account_no;Bet_date;Class_ id;Category_id;Source;bet_count;bet_amt;win_amt;Product
66;00497XG   ;24/12/2012;638;0;I;1797;4031,29;3325,75;Games
67;01148BP   ;08/11/2012;2;9;I;14;4020,31;4564,06;Sportsbook
68;00497XG   ;25/12/2012;638;0;I;1198;3938,31;2457,3;Games
69;01148BP   ;11/09/2012;2;9;I;15;3825;4625;Sportsbook
70;01148BP   ;27/10/2012;2;9;I;14;3802,5;3302,5;Sportsbook
71;01148BP   ;19/10/2012;2;9;I;9;3800;7237,5;Sportsbook
72;01284UW   ;20/10/2012;1;5;I;7;3780;0;Sportsbook
73;01148BP   ;23/11/2012;2;9;I;10;3681,25;5431,25;Sportsbook
74;01196ZZ   ;23/12/2012;22512_XFER;22512;I;38;3660;3510;Vegas
75;01148BP   ;09/11/2012;2;9;I;10;3643,75;2800;Sportsbook
76;01148BP   ;27/09/2012;2;9;I;12;3638;6000;Sportsbook
77;01148BP   ;10/10/2012;2;9;I;10;3595,45;1495,45;Sportsbook
78;01284UW   ;10/10/2012;36;5;I;9;3550;0;Sportsbook
79;01152SJ   ;03/12/2012;22528_PRCH;22528;I;2;3497,377;0;Casino
80;01148BP   ;01/09/2012;2;9;N;6;3470;1320;Sportsbook
81;01152SJ   ;01/12/2012;22527_PRCH;22527;I;2;3370,3864;0;Poker
82;01284UW   ;31/10/2012;46;5;I;36;3315;960;Sportsbook
83;00357DG   ;22/11/2012;22512_XFER;22512;I;340;3310;2005;Vegas
84;00497XG   ;27/12/2012;638;0;I;1230;3295,93;2748,83;Games
85;01148BP   ;12/12/2012;2;9;I;11;3275;2275;Sportsbook
86;00357DG   ;10/11/2012;22512_XFER;22512;I;826;3192;2335;Vegas
87;01284UW   ;12/10/2012;36;5;I;12;3180;25348,33;Sportsbook
88;00357DG   ;05/11/2012;22512_XFER;22512;I;709;3158;3208,1;Vegas
89;01148BP   ;08/12/2012;2;9;M;11;3150;5100;Sportsbook
90;01284UW   ;30/10/2012;46;5;I;25;3145;2380;Sportsbook
91;01148BP   ;20/11/2012;3;8;I;8;3137,5;1687,5;Sportsbook
92;01148BP   ;03/12/2012;2;9;I;7;2860;3293,75;Sportsbook
93;01148BP   ;31/10/2012;2;9;I;7;2800;3000;Sportsbook
94;01196ZZ   ;23/10/2012;2;9;I;11;2760;2000;Sportsbook
95;00497XG   ;26/12/2012;638;0;I;986;2742,5;1674,6;Games
96;01148BP   ;07/12/2012;2;9;M;7;2700;4950;Sportsbook
97;01284UW   ;14/10/2012;36;5;I;7;2700;0;Sportsbook
98;01196ZZ   ;23/09/2012;2;9;I;14;2650;1800;Sportsbook
99;01284UW   ;15/10/2012;36;5;I;6;2600;0;Sportsbook
100;01148BP   ;21/09/2012;2;9;I;8;2550;1550;Sportsbook
101;01148BP   ;15/10/2012;2;9;I;8;2540;1877,5;Sportsbook
102;01148BP   ;20/10/2012;2;9;N;7;2536,72;4839,22;Sportsbook
103;01148BP   ;05/09/2012;2;9;I;13;2525;3065,63;Sportsbook
104;01148BP   ;19/11/2012;3;8;I;7;2500;3200;Sportsbook
105;01284UW   ;21/10/2012;274;5;I;2;2500;0;Sportsbook
106;00357DG   ;09/11/2012;22512_XFER;22512;I;619;2428;2557,6;Vegas
107;01148BP   ;16/10/2012;2;9;I;7;2393,75;7331,25;Sportsbook
108;01152SJ   ;25/10/2012;22528_PRCH;22528;I;2;2377,08;0;Casino
109;01152SJ   ;14/10/2012;22528_PRCH;22528;I;2;2365,0121;0;Casino
110;01152SJ   ;25/10/2012;22527_PRCH;22527;I;2;2313,7433;0;Poker
111;01148BP   ;19/12/2012;2;9;I;8;2275;1525;Sportsbook
112;01196ZZ   ;19/11/2012;2;9;I;13;2223;1848,73;Sportsbook
113;01148BP   ;29/09/2012;2;9;M;5;2200;900;Sportsbook
114;01152SJ   ;16/10/2012;22527_PRCH;22527;I;5;2177,5649;0;Poker
115;01148BP   ;30/11/2012;2;9;I;7;2162,5;3912,5;Sportsbook
116;01152SJ   ;16/10/2012;22528_PRCH;22528;I;1;2115,3487;0;Casino
117;01196ZZ   ;17/10/2012;2;9;I;14;2112;557,05;Sportsbook
118;01196ZZ   ;08/12/2012;2;9;I;16;2030;3475,5;Sportsbook
119;01148BP   ;26/11/2012;2;9;I;7;2020;3820;Sportsbook
120;01148BP   ;18/09/2012;2;9;I;6;2008;0;Sportsbook
121;01148BP   ;23/10/2012;2;9;I;5;2000;0;Sportsbook
122;01148BP   ;13/11/2012;2;9;I;7;2000;1837,5;Sportsbook
123;01284UW   ;02/11/2012;46;5;I;11;1985;2325,56;Sportsbook
124;01284UW   ;30/10/2012;1;5;I;14;1980;2800;Sportsbook
125;01152SJ   ;08/09/2012;22527_PRCH;22527;I;2;1948,2058;0;Poker
126;01148BP   ;12/09/2012;2;9;I;9;1900;3300;Sportsbook
127;01152SJ   ;03/12/2012;22527_PRCH;22527;I;1;1873,5948;0;Poker
128;01152SJ   ;09/12/2012;22528_PRCH;22528;I;2;1870,4408;0;Casino
129;01152SJ   ;28/12/2012;22527_PRCH;22527;I;1;1859,6764;0;Poker
130;01148BP   ;10/11/2012;2;9;I;7;1850;2400;Sportsbook
131;00357DG   ;13/11/2012;22512_XFER;22512;I;242;1835;1662,5;Vegas
132;01148BP   ;22/10/2012;2;9;I;7;1812,5;562,5;Sportsbook
133;01148BP   ;01/10/2012;2;9;I;5;1800;3125;Sportsbook
134;01196ZZ   ;20/11/2012;2;9;I;5;1800;0;Sportsbook
135;01152SJ   ;19/10/2012;22527_PRCH;22527;I;6;1796,4444;0;Poker
136;01152SJ   ;09/09/2012;22528_PRCH;22528;I;4;1785,2668;0;Casino
137;01196ZZ   ;17/11/2012;2;9;I;9;1770;4270,5;Sportsbook
138;01152SJ   ;17/10/2012;22528_PRCH;22528;I;1;1743,6792;0;Casino
139;01148BP   ;29/10/2012;2;9;I;6;1737,5;1806,25;Sportsbook
140;01152SJ   ;20/10/2012;22527_PRCH;22527;I;6;1705,9773;0;Poker
141;01148BP   ;15/09/2012;2;9;I;8;1700,13;0;Sportsbook
142;01148BP   ;11/10/2012;2;9;I;6;1700;0;Sportsbook
143;01284UW   ;20/10/2012;46;5;I;7;1700;0;Sportsbook
144;01148BP   ;17/10/2012;2;9;N;4;1680;0;Sportsbook
145;01152SJ   ;09/12/2012;22527_PRCH;22527;I;2;1644,7409;0;Poker
146;00357DG   ;12/11/2012;612;0;I;351;1640;1325,25;Games
147;01148BP   ;15/09/2012;2;9;M;5;1640;1640;Sportsbook
148;01148BP   ;02/12/2012;2;9;I;5;1600;2450;Sportsbook
